5.011602, 0.898000, 0.887983, 0.000000
3.691122, 0.883400, 0.877150, 0.050000
3.153119, 0.875600, 0.867250, 0.100000
2.321537, 0.824600, 0.815883, 0.250000
1.479284, 0.646000, 0.638667, 0.500000
0.893102, 0.485600, 0.486233, 0.750000
0.620056, 0.411900, 0.413933, 0.900000
0.496716, 0.501200, 0.500950, 1.000000
0.292932, 0.255000, 0.245883, 1.250000
0.264734, 0.437700, 0.429933, 1.500000
0.237427, 0.191200, 0.196350, 2.000000
0.196950, 0.097400, 0.097517, 5.000000
0.192691, 0.089200, 0.090350, 7.000000
0.200005, 0.113500, 0.112367, 10.000000
0.186240, 0.101000, 0.102183, 50.000000
0.245669, 0.098000, 0.098717, 100.000000
