3.507689, 0.723500, 0.717200, 0.000000
2.962581, 0.682100, 0.678800, 0.050000
2.732768, 0.738500, 0.722383, 0.100000
2.065433, 0.656300, 0.649067, 0.250000
1.411762, 0.479500, 0.486300, 0.500000
1.223320, 0.489900, 0.480883, 0.750000
1.056252, 0.448900, 0.452133, 0.900000
0.957764, 0.450900, 0.455800, 1.000000
0.857853, 0.383300, 0.379217, 1.250000
0.897266, 0.123600, 0.121183, 1.500000
0.663500, 0.212000, 0.210933, 2.000000
0.691526, 0.163100, 0.159500, 5.000000
0.735073, 0.124500, 0.122067, 7.000000
0.919037, 0.102800, 0.104417, 10.000000
0.808163, 0.113500, 0.112367, 50.000000
0.662393, 0.113500, 0.112367, 100.000000
