136.242142, 0.966400, 0.974617, 0.000000
22.678501, 0.942700, 0.937933, 0.001000
11.372357, 0.811100, 0.807983, 0.010000
0.561747, 0.102800, 0.104417, 0.050000
0.331918, 0.113500, 0.112367, 0.100000
0.183160, 0.102800, 0.104417, 0.250000
0.196745, 0.101000, 0.102183, 0.500000
0.135461, 0.113500, 0.112367, 0.750000
0.124087, 0.098000, 0.098717, 0.900000
0.149904, 0.101000, 0.102183, 1.000000
0.133632, 0.097400, 0.097517, 1.250000
0.073689, 0.102800, 0.104417, 1.500000
0.087320, 0.095800, 0.098633, 2.000000
137.570007, 0.966900, 0.976717, 0.000000
135.850266, 0.969700, 0.979017, 0.000000
131.324875, 0.964300, 0.973967, 0.000001
100.074684, 0.961800, 0.971683, 0.000010
47.640495, 0.958300, 0.962683, 0.000100
